,Economy,Year,prediction,Consumptionpercap
0,01_AUS,2017,12.528698183218012,276149.643183689
22,01_AUS,2018,12.53518630037658,277947.159364116
43,01_AUS,2019,12.53960253273597,279177.3530146214
64,01_AUS,2020,12.542862249355508,280088.8769197178
85,01_AUS,2021,12.544885502183973,280656.14119818475
106,01_AUS,2022,12.546247092230999,281038.54008285614
127,01_AUS,2023,12.547201729841518,281306.958143828
148,01_AUS,2024,12.548016052258518,281536.1260015006
169,01_AUS,2025,12.548538801321172,281683.3372213823
190,01_AUS,2026,12.547424547312005,281369.6452323018
211,01_AUS,2027,12.546427666309597,281089.2929404696
232,01_AUS,2028,12.545480971277271,280823.3130240006
253,01_AUS,2029,12.544117758714236,280440.7519709543
274,01_AUS,2030,12.542376941392831,279952.9805359572
295,01_AUS,2031,12.539103260364456,279038.0022653932
316,01_AUS,2032,12.53561838419192,278067.28178280476
337,01_AUS,2033,12.531646450118487,276965.0074013185
358,01_AUS,2034,12.527331006196178,275772.3557050943
379,01_AUS,2035,12.522519368764378,274448.6263225496
400,01_AUS,2036,12.516157546168785,272708.1749418139
421,01_AUS,2037,12.509336372208693,270854.31497894047
442,01_AUS,2038,12.502104472427376,268902.589565295
463,01_AUS,2039,12.494258963728285,266801.1661065568
484,01_AUS,2040,12.485948887615649,264593.21493666817
505,01_AUS,2041,12.47575666993491,261910.1198646137
526,01_AUS,2042,12.46525320086262,259173.5519081314
547,01_AUS,2043,12.454447159837855,256387.98943079452
568,01_AUS,2044,12.443314738608848,253549.59872845738
589,01_AUS,2045,12.431913747746378,250675.2981415545
610,01_AUS,2046,12.419237834610996,247517.81411204362
631,01_AUS,2047,12.406537583009168,244394.1532226493
652,01_AUS,2048,12.39384835349911,241312.57251261143
673,01_AUS,2049,12.381186075334725,238276.26942032963
