,Economy,Year,prediction,Consumptionpercap
2,03_CDA,2017,12.987914163456352,437098.637388746
24,03_CDA,2018,12.97445042799373,431253.09667334077
45,03_CDA,2019,12.962548622560377,426150.8295486303
66,03_CDA,2020,12.951914239211987,421642.9897935844
87,03_CDA,2021,12.942466630553966,417678.23007202416
108,03_CDA,2022,12.933904684073312,414117.35717462684
129,03_CDA,2023,12.926338683116,410995.9679608434
150,03_CDA,2024,12.919070583272799,408019.6374662626
171,03_CDA,2025,12.912143252110695,405202.91775603796
192,03_CDA,2026,12.905435188039633,402493.88695647015
213,03_CDA,2027,12.89892683651857,399882.8213382813
234,03_CDA,2028,12.892755781735588,397422.72105494584
255,03_CDA,2029,12.886908997561534,395105.855884522
276,03_CDA,2030,12.881302320480458,392896.82339037355
297,03_CDA,2031,12.875944041352355,390797.20274239255
318,03_CDA,2032,12.870769349443137,388780.17087935744
339,03_CDA,2033,12.865796125660466,386851.47996824764
360,03_CDA,2034,12.861106328008702,385041.4724079854
381,03_CDA,2035,12.856481377684574,383264.78643451974
402,03_CDA,2036,12.851991272540488,381547.7449785183
423,03_CDA,2037,12.84772500618267,379923.42801830225
444,03_CDA,2038,12.843564105755888,378345.8887324663
465,03_CDA,2039,12.83950886803629,376814.7129526547
486,03_CDA,2040,12.835559862427544,375329.60381987283
507,03_CDA,2041,12.831745357816345,373900.63445317955
528,03_CDA,2042,12.828065120231756,372527.12026488886
549,03_CDA,2043,12.824432694709145,371176.39792969305
570,03_CDA,2044,12.821069241374616,369930.06061005016
591,03_CDA,2045,12.817773492814695,368712.8710226929
612,03_CDA,2046,12.814547786981649,367525.427964545
633,03_CDA,2047,12.811412457215255,366374.9191051641
654,03_CDA,2048,12.808430803895334,365284.14307736716
675,03_CDA,2049,12.805581395524513,364244.7808692685
