,Economy,Year,prediction,Consumptionpercap
3,04_CHL,2017,11.934424373812078,152424.45478224676
25,04_CHL,2018,11.999429742828823,162662.00579040337
46,04_CHL,2019,12.05886833006403,172623.52222453972
67,04_CHL,2020,12.112030966780424,182048.9647167882
88,04_CHL,2021,12.158660145099958,190738.7834578756
109,04_CHL,2022,12.198852583945751,198561.1880887673
130,04_CHL,2023,12.232710756758166,205399.2154313332
151,04_CHL,2024,12.260540560023315,211195.7188523473
172,04_CHL,2025,12.282455557623905,215875.16021707145
193,04_CHL,2026,12.299298764897344,219541.9841359722
214,04_CHL,2027,12.311294369095691,222191.38167530397
235,04_CHL,2028,12.319435712111698,224007.7015378863
256,04_CHL,2029,12.324206204047158,225078.8814677064
277,04_CHL,2030,12.325747396941694,225426.03889009455
298,04_CHL,2031,12.325109907099431,225282.3778762045
319,04_CHL,2032,12.322210486923325,224630.13562357274
340,04_CHL,2033,12.317700483351956,223619.33398249833
361,04_CHL,2034,12.311419906298113,222219.27671065746
382,04_CHL,2035,12.303784502437964,220529.0039568308
403,04_CHL,2036,12.295007080803686,218601.7982282897
424,04_CHL,2037,12.285264588432824,216482.41268915142
445,04_CHL,2038,12.274682111450744,214203.5716980301
466,04_CHL,2039,12.263477157091756,211816.8271071874
487,04_CHL,2040,12.251370068480924,209267.8037743985
508,04_CHL,2041,12.23837406536822,206565.75469463816
529,04_CHL,2042,12.224811089674262,203783.022109558
550,04_CHL,2043,12.210528410237345,200893.14127743564
571,04_CHL,2044,12.195647629473456,197925.8272161677
592,04_CHL,2045,12.179817749568258,194817.35343567844
613,04_CHL,2046,12.163135732083504,191594.36466025352
634,04_CHL,2047,12.145715065233276,188285.567468856
655,04_CHL,2048,12.127072495472532,184807.95715716912
676,04_CHL,2049,12.107624596375672,181248.5542939143
