,Economy,Year,prediction,Consumptionpercap
4,05_PRC,2017,13.325205960161355,612439.8179475359
26,05_PRC,2018,13.349930775533068,627771.0290439029
47,05_PRC,2019,13.368771118693019,639710.5700134143
68,05_PRC,2020,13.38256983681822,648598.9388671826
89,05_PRC,2021,13.39198198071469,654732.4649460226
110,05_PRC,2022,13.397512656656772,658363.6101261469
131,05_PRC,2023,13.399567751639125,659718.001102251
152,05_PRC,2024,13.398497763841704,659012.4884036315
173,05_PRC,2025,13.39466628306036,656492.3257800264
194,05_PRC,2026,13.388499541204851,652456.3642335075
215,05_PRC,2027,13.380458436701076,647230.9317051359
236,05_PRC,2028,13.37098617195494,641129.133515053
257,05_PRC,2029,13.360508811670542,634446.8600166856
278,05_PRC,2030,13.349435031777801,627459.8926048628
299,05_PRC,2031,13.338153544694848,620420.9912232775
320,05_PRC,2032,13.32697600131658,613524.8215976785
341,05_PRC,2033,13.316099080336897,606887.7216347151
362,05_PRC,2034,13.305557474847234,600523.7528539689
383,05_PRC,2035,13.295243245254937,594361.6463109228
404,05_PRC,2036,13.284904750402319,588248.4963247485
425,05_PRC,2037,13.274169964421418,581967.547250793
446,05_PRC,2038,13.262582481023315,575262.9278108244
467,05_PRC,2039,13.249648511877012,567870.4052370816
488,05_PRC,2040,13.234900651849046,559556.9852435876
509,05_PRC,2041,13.217951287746473,550152.7730096838
530,05_PRC,2042,13.198542568698855,539577.9660906062
551,05_PRC,2043,13.176547736609706,527839.604197898
572,05_PRC,2044,13.15196466766244,515021.88179338584
593,05_PRC,2045,13.124900918568159,501270.3817231954
614,05_PRC,2046,13.095554342240064,486773.568521562
635,05_PRC,2047,13.064207159170564,471751.2718112998
656,05_PRC,2048,13.031201003648476,456434.73640984995
677,05_PRC,2049,12.996917093730275,441051.5732472807
