,Economy,Year,prediction,Consumptionpercap
5,06_HKC,2017,12.82476164336542,371298.515991218
27,06_HKC,2018,12.829843860372378,373190.338879096
48,06_HKC,2019,12.835513344655183,375312.14472888404
69,06_HKC,2020,12.841179099978163,377444.6068103831
90,06_HKC,2021,12.847440693862879,379815.4264609532
111,06_HKC,2022,12.855720627465914,382973.3285418193
132,06_HKC,2023,12.866230371140446,387019.5049542523
153,06_HKC,2024,12.878060756073623,391625.28503227053
174,06_HKC,2025,12.890832173749388,396658.970348813
195,06_HKC,2026,12.908743988123959,403827.8644789926
216,06_HKC,2027,12.926666666743515,411130.7900178139
237,06_HKC,2028,12.9451459156722,418798.80964380514
258,06_HKC,2029,12.962435311580819,426102.5447163474
279,06_HKC,2030,12.977650736176471,432635.4502864112
300,06_HKC,2031,12.994093490361323,439807.97507940605
321,06_HKC,2032,13.006983574860058,445513.8325295657
342,06_HKC,2033,13.018119343281612,450502.697264687
363,06_HKC,2034,13.02843370369591,455173.3906514055
384,06_HKC,2035,13.038166685522171,459625.2146075106
405,06_HKC,2036,13.046651826607999,463541.7922583691
426,06_HKC,2037,13.054490925366892,467189.82209847245
447,06_HKC,2038,13.062020795050287,470720.9784655351
468,06_HKC,2039,13.069488938005989,474249.5495617034
489,06_HKC,2040,13.077358944965638,477996.6222211323
510,06_HKC,2041,13.084884816670254,481607.53406172234
531,06_HKC,2042,13.09213054698894,485109.80530685314
552,06_HKC,2043,13.100359307965093,489118.12708505755
573,06_HKC,2044,13.10816977174214,492953.3243373262
594,06_HKC,2045,13.116718306563527,497185.4163160572
615,06_HKC,2046,13.119411349954632,498526.1627494701
636,06_HKC,2047,13.122169166025301,499902.9037393909
657,06_HKC,2048,13.125166764678923,501403.6602196178
678,06_HKC,2049,13.128942599528145,503300.4563743738
