,Economy,Year,prediction,Consumptionpercap
6,07_INA,2017,11.168862894328527,70888.45712992914
28,07_INA,2018,11.258439112645476,77531.46342609086
49,07_INA,2019,11.348412119137791,84830.64355132486
70,07_INA,2020,11.439457504765883,92916.59156006727
91,07_INA,2021,11.531820133970328,101907.43028487967
112,07_INA,2022,11.625488819974564,111914.31579864139
133,07_INA,2023,11.72025497592439,123038.79312931154
154,07_INA,2024,11.815863372579756,135383.03992666263
175,07_INA,2025,11.91197195981583,149040.2913049799
196,07_INA,2026,12.008276915615,164107.48945479427
217,07_INA,2027,12.104437200268535,180671.76307689905
238,07_INA,2028,12.20009680358072,198808.39557604355
259,07_INA,2029,12.29490562039338,218579.61992527664
280,07_INA,2030,12.388515669689198,240029.15393820696
301,07_INA,2031,12.480655989310705,263196.44968687854
322,07_INA,2032,12.571110252969945,288113.6366423408
343,07_INA,2033,12.659687258389937,314798.2569145867
364,07_INA,2034,12.746208418676744,343247.97313070454
385,07_INA,2035,12.830546518453843,373452.6562355466
406,07_INA,2036,12.912611119160388,405392.54320598627
427,07_INA,2037,12.992411284706805,439068.74955582584
448,07_INA,2038,13.069954705129888,474470.4908600153
469,07_INA,2039,13.14531224008077,511607.1068865046
490,07_INA,2040,13.21855358271361,550484.2270625584
511,07_INA,2041,13.289772701054119,591119.0421449565
532,07_INA,2042,13.359082583104652,633542.6387477674
553,07_INA,2043,13.426598399152468,677793.8056123293
574,07_INA,2044,13.492433002859954,723917.7086773355
595,07_INA,2045,13.556670619262363,771946.5719261001
616,07_INA,2046,13.619385061302111,821909.0813593114
637,07_INA,2047,13.68065926265291,873845.8470013936
658,07_INA,2048,13.740502594604067,927736.0984024075
679,07_INA,2049,13.798913288743805,983539.7065971773
