,Economy,Year,prediction,Consumptionpercap
7,08_JPN,2017,13.212302591786866,547053.8878335749
29,08_JPN,2018,13.208359011366312,544900.7850898277
50,08_JPN,2019,13.209412230680698,545474.9874485369
71,08_JPN,2020,13.214528277696559,548272.8139337113
92,08_JPN,2021,13.222783944882124,552817.9073872796
113,08_JPN,2022,13.233691695168346,558880.913840909
134,08_JPN,2023,13.24701318006052,566375.8484819715
155,08_JPN,2024,13.26258800424192,575266.105122504
176,08_JPN,2025,13.280257364260777,585521.0211393788
197,08_JPN,2026,13.2999312206383,597154.5404722039
218,08_JPN,2027,13.321413756027539,610121.7192679103
239,08_JPN,2028,13.34445547847372,624343.1889595638
260,08_JPN,2029,13.368605817907493,639604.8340930382
281,08_JPN,2030,13.39359115174446,655786.8896081434
302,08_JPN,2031,13.418469447345316,672306.3861328595
323,08_JPN,2032,13.4424359687726,688613.8677765669
344,08_JPN,2033,13.465422351181658,704625.9341908814
365,08_JPN,2034,13.487562239718798,720400.2502921168
386,08_JPN,2035,13.508878848043352,735921.5836222951
407,08_JPN,2036,13.529440876615212,751210.2687781386
428,08_JPN,2037,13.549204603542748,766204.6679299296
449,08_JPN,2038,13.568206546516379,780903.253912136
470,08_JPN,2039,13.586501354620864,795321.2138571593
491,08_JPN,2040,13.604087550488543,809431.598835711
512,08_JPN,2041,13.621216122764025,823415.4260874046
533,08_JPN,2042,13.638017832315995,837367.0906163356
554,08_JPN,2043,13.654807528464389,851544.9172813206
575,08_JPN,2044,13.671764655313183,866107.7957960288
596,08_JPN,2045,13.689059119988215,881216.9421827021
617,08_JPN,2046,13.707064676475056,897227.4501165221
638,08_JPN,2047,13.725950682388103,914333.5172391327
659,08_JPN,2048,13.746131631557788,932973.0849507382
680,08_JPN,2049,13.767762487002898,953373.9394055654
