,Economy,Year,prediction,Consumptionpercap
8,09_ROK,2017,13.911566083762565,1100820.186216648
30,09_ROK,2018,13.914839139600204,1104429.1350770455
51,09_ROK,2019,13.916658077835535,1106439.851589246
72,09_ROK,2020,13.917014734437402,1106834.5410469999
93,09_ROK,2021,13.915821378377288,1105514.4811472967
114,09_ROK,2022,13.913040875716973,1102444.864707439
135,09_ROK,2023,13.908528738175619,1097481.6875357395
156,09_ROK,2024,13.90230497022604,1090672.4277897615
177,09_ROK,2025,13.894422640885296,1082109.1820097398
198,09_ROK,2026,13.884906372829434,1071860.3834687104
219,09_ROK,2027,13.873962694943629,1060194.2403813794
240,09_ROK,2028,13.861681533917405,1047253.4508076683
261,09_ROK,2029,13.848327929230805,1033361.8004504357
282,09_ROK,2030,13.834007729132964,1018669.3035218783
303,09_ROK,2031,13.818906341094234,1003401.5553333602
324,09_ROK,2032,13.803062042665289,987628.6469505647
345,09_ROK,2033,13.786748705753737,971647.832699089
366,09_ROK,2034,13.770196313918802,955697.1125140546
387,09_ROK,2035,13.753427251311663,939804.5915552465
408,09_ROK,2036,13.736652094542691,924170.7191502128
429,09_ROK,2037,13.719959891699446,908872.3113218616
450,09_ROK,2038,13.703301115177084,893857.0259870242
471,09_ROK,2039,13.686710002994133,879149.2900176024
492,09_ROK,2040,13.67015880730024,864718.0744524293
513,09_ROK,2041,13.653611173206116,850526.776192534
534,09_ROK,2042,13.637076608273702,836579.3113749614
555,09_ROK,2043,13.620483572950917,822812.4541513678
576,09_ROK,2044,13.60379142302699,809191.9393976689
597,09_ROK,2045,13.586963146032957,795688.5711782734
618,09_ROK,2046,13.569976590161744,782286.7107826855
639,09_ROK,2047,13.55283398287473,768990.5678014102
660,09_ROK,2048,13.5355858226269,755840.6274047678
681,09_ROK,2049,13.518189632238972,742805.5886835334
