,Economy,Year,prediction,Consumptionpercap
9,10_MAS,2017,12.900570939004751,400540.8104315611
31,10_MAS,2018,12.928812482255154,412013.9480525748
52,10_MAS,2019,12.956454921745404,423561.8900140781
73,10_MAS,2020,12.982148665650868,434585.7970027327
94,10_MAS,2021,13.006116828259707,445127.85222753236
115,10_MAS,2022,13.028344568863133,455132.820655472
136,10_MAS,2023,13.04962631785466,464922.6459123536
157,10_MAS,2024,13.07038733224482,474675.80406842486
178,10_MAS,2025,13.091097772363753,484609.0548352023
199,10_MAS,2026,13.109276074675904,493498.9818218342
220,10_MAS,2027,13.127406555437517,502527.9581301193
241,10_MAS,2028,13.145266835319234,511583.8780151708
262,10_MAS,2029,13.163437752767095,520964.7982777267
283,10_MAS,2030,13.181907354194095,530676.2174130701
304,10_MAS,2031,13.200471898707889,540619.9949383314
325,10_MAS,2032,13.219625811462691,551074.7886286955
346,10_MAS,2033,13.23883690945712,561763.8862999416
367,10_MAS,2034,13.258471128219071,572902.6742016954
388,10_MAS,2035,13.277881171340965,584131.3619375932
409,10_MAS,2036,13.295400953252738,594455.3892879463
430,10_MAS,2037,13.312825606163187,604904.3383996007
451,10_MAS,2038,13.329819024810831,615271.5689250836
472,10_MAS,2039,13.345942417084729,625272.2395031344
493,10_MAS,2040,13.361346616945212,634978.6256694356
514,10_MAS,2041,13.374573199568488,643433.0109865887
535,10_MAS,2042,13.386901268628662,651414.3940174114
556,10_MAS,2043,13.39868474478476,659135.7227010725
577,10_MAS,2044,13.409308321282197,666175.4286924081
598,10_MAS,2045,13.419060351112961,672703.7719062495
619,10_MAS,2046,13.425370929170356,676962.3444630754
640,10_MAS,2047,13.43031449513424,680317.2382047771
661,10_MAS,2048,13.433996589006085,682826.8476117895
682,10_MAS,2049,13.43628501828897,684391.2378805407
