,Economy,Year,prediction,Consumptionpercap
10,11_MEX,2017,12.37718040003832,237323.72112744642
32,11_MEX,2018,12.407648559993852,244665.8203821093
53,11_MEX,2019,12.438789164852135,252404.7338576142
74,11_MEX,2020,12.470695844208688,260587.98675653525
95,11_MEX,2021,12.503409721396647,269253.80355414486
116,11_MEX,2022,12.536993326449497,278449.8711978819
137,11_MEX,2023,12.571456630813536,288213.4501080988
158,11_MEX,2024,12.606714088244349,298556.38493894757
179,11_MEX,2025,12.643014557578045,309593.23125214525
200,11_MEX,2026,12.680534669899018,321429.87153704197
221,11_MEX,2027,12.71944367290616,334182.8819667197
242,11_MEX,2028,12.759862418574588,347966.82319822226
263,11_MEX,2029,12.80186646627634,362894.14758617326
284,11_MEX,2030,12.845463665516071,379065.2623884466
305,11_MEX,2031,12.89062463866252,396576.65823656553
326,11_MEX,2032,12.937282617934539,415518.58351050894
347,11_MEX,2033,12.985326344448769,435968.9675476977
368,11_MEX,2034,13.034575132053533,457977.40693967673
389,11_MEX,2035,13.084868147510939,481599.5061359193
410,11_MEX,2036,13.136006590269176,506868.3530963825
431,11_MEX,2037,13.18779133840816,533807.9122854389
452,11_MEX,2038,13.23998968103821,562411.8451458674
473,11_MEX,2039,13.292420079987497,592686.0315363999
494,11_MEX,2040,13.344917570926583,624631.7599032718
515,11_MEX,2041,13.39732449588547,658239.743575247
536,11_MEX,2042,13.449518906784661,693508.5911642505
557,11_MEX,2043,13.501396154913198,730435.45933409
578,11_MEX,2044,13.552888281786192,769032.3242858214
599,11_MEX,2045,13.603908846627242,809286.963207397
620,11_MEX,2046,13.654359093814772,851163.1406420413
641,11_MEX,2047,13.704075795915983,894549.7480929793
662,11_MEX,2048,13.753055232407306,939455.0315062905
683,11_MEX,2049,13.801339706834234,985929.0827744227
