,Economy,Year,prediction,Consumptionpercap
11,12_NZ,2017,12.406323997107634,244341.95965120755
33,12_NZ,2018,12.399952008456282,242789.96535348694
54,12_NZ,2019,12.398646665288027,242473.2478883534
75,12_NZ,2020,12.401575071115573,243184.34864812432
96,12_NZ,2021,12.407096499394854,244530.78729940642
117,12_NZ,2022,12.413176519985768,246022.0684373426
138,12_NZ,2023,12.41992243038662,247687.32177747198
159,12_NZ,2024,12.427747600422663,249633.12035957313
180,12_NZ,2025,12.433905110564993,251174.9809695957
201,12_NZ,2026,12.440871555480953,252930.8867478606
222,12_NZ,2027,12.447020666263938,254490.97846351835
243,12_NZ,2028,12.452391536111648,255861.49352074455
264,12_NZ,2029,12.45940953622781,257663.44516456424
285,12_NZ,2030,12.464779290090277,259050.75586945692
306,12_NZ,2031,12.47095147836491,260654.61046193587
327,12_NZ,2032,12.476368152450775,262070.32229914103
348,12_NZ,2033,12.482699279400478,263734.786185706
369,12_NZ,2034,12.489203676449065,265455.81300381507
390,12_NZ,2035,12.495154623459158,267040.2362139403
411,12_NZ,2036,12.502171308437653,268920.5625421489
432,12_NZ,2037,12.509493216090164,270896.80015269737
453,12_NZ,2038,12.517113649805339,272969.03690525785
474,12_NZ,2039,12.524205393818477,274911.74388679257
495,12_NZ,2040,12.531480997709153,276919.186664223
516,12_NZ,2041,12.538917569949476,278986.19239340443
537,12_NZ,2042,12.546561895714433,281127.0259213478
558,12_NZ,2043,12.553685516852667,283136.81834656553
579,12_NZ,2044,12.561780689469586,285438.1620851035
600,12_NZ,2045,12.569283206456944,287587.72021035396
621,12_NZ,2046,12.576156034171305,289571.0688638462
642,12_NZ,2047,12.582401721871165,291385.29898671934
663,12_NZ,2048,12.589499696297466,293460.90196126304
684,12_NZ,2049,12.595932941665978,295354.89367419324
