,Economy,Year,prediction,Consumptionpercap
13,14_PE,2017,11.765003706695568,128669.67067168365
35,14_PE,2018,11.822591384429145,136296.96964096578
56,14_PE,2019,11.879275860011369,144246.05851506704
77,14_PE,2020,11.9341420943347,152381.43455895985
98,14_PE,2021,11.986761623818875,160614.38130171192
119,14_PE,2022,12.037589230063004,168989.05526508245
140,14_PE,2023,12.086959488858241,177541.46901392465
161,14_PE,2024,12.134796437479894,186240.9300764427
182,14_PE,2025,12.181323595494456,195110.9393457984
203,14_PE,2026,12.226454989528113,204118.29649307238
224,14_PE,2027,12.27043068657581,213294.8343879718
245,14_PE,2028,12.313659723125813,222717.56501502104
266,14_PE,2029,12.356079365030233,232368.40993995508
287,14_PE,2030,12.397916876354095,242296.358149208
308,14_PE,2031,12.438750223371162,252394.90503484884
329,14_PE,2032,12.479056794036515,262775.88354168215
350,14_PE,2033,12.518865227330524,273447.5823177182
371,14_PE,2034,12.558262576229785,284435.7226895248
392,14_PE,2035,12.597146707888891,295713.6031185722
413,14_PE,2036,12.63546162324962,307263.7023716384
434,14_PE,2037,12.67338810038359,319140.93936417706
455,14_PE,2038,12.710854630435323,331324.86239626445
476,14_PE,2039,12.747945567445482,343844.7641318996
497,14_PE,2040,12.784526131305313,356655.6863299594
518,14_PE,2041,12.82252831966719,370470.2114966461
539,14_PE,2042,12.860188524017197,384688.2419306809
560,14_PE,2043,12.897589994777615,399348.5984565105
581,14_PE,2044,12.93469242724013,414443.7038147938
602,14_PE,2045,12.971573114480195,430014.02975736547
623,14_PE,2046,13.00881854665479,446332.0883550036
644,14_PE,2047,13.045967362854,463224.62326082867
665,14_PE,2048,13.082778614341663,480594.23862920346
686,14_PE,2049,13.119420587836924,498530.7680967529
