,Economy,Year,prediction,Consumptionpercap
14,15_RP,2017,11.512584397458753,99965.89906454358
36,15_RP,2018,11.56451758831426,105294.61827476857
57,15_RP,2019,11.619173273082751,111209.74291278867
78,15_RP,2020,11.676398863195303,117759.40286794487
99,15_RP,2021,11.735022490842923,124869.25274690698
120,15_RP,2022,11.795833307759878,132698.28651429492
141,15_RP,2023,11.857750908757467,141174.34695651484
162,15_RP,2024,11.920378376413652,150298.46704890722
183,15_RP,2025,11.983234959111755,160048.94586835642
204,15_RP,2026,12.044603952517136,170178.63398995274
225,15_RP,2027,12.105437890620166,180852.65005785588
246,15_RP,2028,12.165778996497693,192101.46913667247
267,15_RP,2029,12.225429930290531,203909.17034934688
288,15_RP,2030,12.284173197276871,216246.27458148368
309,15_RP,2031,12.34105015106151,228902.20777880994
330,15_RP,2032,12.39687820381208,242044.8222293085
351,15_RP,2033,12.451689912592059,255682.03804158745
372,15_RP,2034,12.50545045524676,269803.8399533888
393,15_RP,2035,12.558318615989918,284451.66284583486
414,15_RP,2036,12.608507494867283,299092.29834870686
435,15_RP,2037,12.657643715907028,314155.6101646482
456,15_RP,2038,12.705720370042656,329628.11378004414
477,15_RP,2039,12.752821427803212,345525.39712281676
498,15_RP,2040,12.798753863951276,361766.35850862594
519,15_RP,2041,12.842781690042287,378049.9807405725
540,15_RP,2042,12.885763788349848,394653.63601137843
561,15_RP,2043,12.927736208778612,411570.74691391794
582,15_RP,2044,12.968782460059089,428815.68206892535
603,15_RP,2045,13.008725943582824,446290.7585461681
624,15_RP,2046,13.046469005553938,463457.05480543844
645,15_RP,2047,13.083253480059653,480822.5105523579
666,15_RP,2048,13.119060110802998,498351.0915907212
687,15_RP,2049,13.15387426601621,516006.30635963194
