,Economy,Year,prediction,Consumptionpercap
15,16_RUS,2017,12.537157469864894,278495.5806621082
37,16_RUS,2018,12.571092277025556,288108.4575741805
58,16_RUS,2019,12.59948570870435,296406.0870219055
79,16_RUS,2020,12.624181333174263,303817.1542567466
100,16_RUS,2021,12.646882902085963,310793.1639080732
121,16_RUS,2022,12.668671961182966,317639.3698580768
142,16_RUS,2023,12.690219237090972,324557.9030929801
163,16_RUS,2024,12.711842716567773,331652.40169000265
184,16_RUS,2025,12.733670705862096,338971.29452574754
205,16_RUS,2026,12.75565741487165,346506.69349508535
226,16_RUS,2027,12.7776862018966,354224.51062580955
247,16_RUS,2028,12.799440482622686,362014.8393410931
268,16_RUS,2029,12.820478436272182,369711.56859215314
289,16_RUS,2030,12.840315119651322,377118.64292909374
310,16_RUS,2031,12.858460186410326,384023.9450052733
331,16_RUS,2032,12.874311138829711,390159.58972581994
352,16_RUS,2033,12.887212920591779,395225.95590316626
373,16_RUS,2034,12.896369646414882,398861.5512922739
394,16_RUS,2035,12.901330967251852,400845.34847570397
415,16_RUS,2036,12.901757998186312,401016.5583928014
436,16_RUS,2037,12.897388343840618,399268.07755627355
457,16_RUS,2038,12.888118638342576,395584.08122275135
478,16_RUS,2039,12.874037569913227,390052.8687880342
499,16_RUS,2040,12.855378350247932,382842.26792717556
520,16_RUS,2041,12.832713248688947,374262.70465848426
541,16_RUS,2042,12.80675835523148,364673.7346809842
562,16_RUS,2043,12.778519212855016,354519.7064585124
583,16_RUS,2044,12.749112850212654,344246.36254350585
604,16_RUS,2045,12.7197709178795,334292.25953067304
625,16_RUS,2046,12.691771760886127,325062.1783087843
646,16_RUS,2047,12.666257434947454,316873.34643011057
667,16_RUS,2048,12.64432765188296,310000.02338070667
688,16_RUS,2049,12.62685412529494,304630.2805274465
