,Economy,Year,prediction,Consumptionpercap
16,17_SIN,2017,13.35550601854493,631280.7798522377
38,17_SIN,2018,13.32060959183525,609631.2784522387
59,17_SIN,2019,13.287924193686877,590027.3635394605
80,17_SIN,2020,13.254877137163135,570847.362712579
101,17_SIN,2021,13.223395068906711,553155.8509439015
122,17_SIN,2022,13.191227153566928,535645.1319686198
143,17_SIN,2023,13.159416919975172,518874.29153884895
164,17_SIN,2024,13.126718305947861,502182.21251266875
185,17_SIN,2025,13.092346983733961,485214.8122573627
206,17_SIN,2026,13.055943278845064,467868.8398290889
227,17_SIN,2027,13.017810452847726,450363.56278082426
248,17_SIN,2028,12.977387775443049,432521.69910780137
269,17_SIN,2029,12.936791845544576,415314.7084944121
290,17_SIN,2030,12.895004893009002,398317.57491291326
311,17_SIN,2031,12.849311181189023,380526.53125134157
332,17_SIN,2032,12.803410789283276,363455.00632943586
353,17_SIN,2033,12.756774494012063,346893.98517185525
374,17_SIN,2034,12.710036346513931,331053.85548402957
395,17_SIN,2035,12.66278045147547,315773.49623038905
416,17_SIN,2036,12.617672655655241,301846.12772118533
437,17_SIN,2037,12.572701923162526,288572.58367912803
458,17_SIN,2038,12.527950970759292,275943.37780145986
479,17_SIN,2039,12.482615948503167,263712.8098449877
500,17_SIN,2040,12.43736301361912,252045.0230971446
521,17_SIN,2041,12.390956266943817,240615.68388288395
542,17_SIN,2042,12.344015067282982,229581.8907514107
563,17_SIN,2043,12.296850988160742,219005.25154326484
584,17_SIN,2044,12.249920502300796,208964.6759984224
605,17_SIN,2045,12.20287932246211,199362.35403303115
626,17_SIN,2046,12.156292580385525,190287.73120288108
647,17_SIN,2047,12.110228073203274,181721.0454981232
668,17_SIN,2048,12.06485569994092,173660.1834417195
689,17_SIN,2049,12.019622209611214,165979.9388295387
