,Economy,Year,prediction,Consumptionpercap
17,18_CT,2017,13.546130699988339,763853.0448607148
39,18_CT,2018,13.51220734571055,738375.1780229824
60,18_CT,2019,13.478478419271255,713885.8961743636
81,18_CT,2020,13.445389492036867,690650.711306852
102,18_CT,2021,13.409160760854292,666077.1348134122
123,18_CT,2022,13.373030819910127,642441.3579482525
144,18_CT,2023,13.331860115934262,616528.6767623083
165,18_CT,2024,13.28965434548158,591049.0840523315
186,18_CT,2025,13.246790566424096,566249.7795276128
207,18_CT,2026,13.199935543026527,540330.1080807694
228,18_CT,2027,13.152588743957637,515343.39505528804
249,18_CT,2028,13.101515626738973,489684.0306774706
270,18_CT,2029,13.048455672696548,464378.70491108793
291,18_CT,2030,12.992484146922408,439100.7422432355
312,18_CT,2031,12.935252580747715,414675.9209417295
333,18_CT,2032,12.879786381396286,392301.666964169
354,18_CT,2033,12.820607198382163,369759.17649879074
375,18_CT,2034,12.75958138795383,347869.0476055068
396,18_CT,2035,12.696117740197963,326477.96607455006
417,18_CT,2036,12.632888251124086,306474.01504024194
438,18_CT,2037,12.571783754372888,288307.74694026797
459,18_CT,2038,12.507927385057513,270472.95345912554
480,18_CT,2039,12.443046989749945,253481.72020032728
501,18_CT,2040,12.377098008054588,237304.16836078285
522,18_CT,2041,12.310023490993473,221909.18287195335
543,18_CT,2042,12.243235153720434,207572.33363118666
564,18_CT,2043,12.174954669025027,193872.2408965251
585,18_CT,2044,12.10635356201928,181018.3274984385
606,18_CT,2045,12.037046666505972,168897.3928307552
627,18_CT,2046,11.96849525656026,157707.17292828395
648,18_CT,2047,11.899251704966105,147156.46757658327
669,18_CT,2048,11.830067665336799,137319.78272768506
690,18_CT,2049,11.761070321740561,128164.55737865061
