,Economy,Year,prediction,Consumptionpercap
18,19_THA,2017,12.61907959972416,302271.1072314057
40,19_THA,2018,12.665886930841879,316755.96530074877
61,19_THA,2019,12.71461238599339,332572.24244629237
82,19_THA,2020,12.765125058322909,349802.8742331516
103,19_THA,2021,12.818285126201019,368901.5651044554
124,19_THA,2022,12.873008946951956,389651.85773103737
145,19_THA,2023,12.929406498439747,412258.763711029
166,19_THA,2024,12.9867708668218,436599.1895505718
187,19_THA,2025,13.045374189508848,462949.9322392427
208,19_THA,2026,13.105051449085465,491418.5310513859
229,19_THA,2027,13.165275793255034,521923.233221037
250,19_THA,2028,13.225937471852419,554563.9852727161
271,19_THA,2029,13.286669563133557,589287.5613681166
292,19_THA,2030,13.347392338475956,626179.492662471
313,19_THA,2031,13.408379426189526,665556.9089203028
334,19_THA,2032,13.46910603182505,707226.3376930001
355,19_THA,2033,13.529614137055944,751340.4350763991
376,19_THA,2034,13.589747448779775,797907.0961419618
397,19_THA,2035,13.649535298931426,847067.1911917027
418,19_THA,2036,13.710373017288362,900200.6998584145
439,19_THA,2037,13.770891446406964,956361.6795801237
460,19_THA,2038,13.831126614059258,1015738.6238762862
481,19_THA,2039,13.890955223542917,1078363.5554437486
502,19_THA,2040,13.950358511528265,1144362.7748414704
523,19_THA,2041,14.00907758961823,1213570.7314784497
544,19_THA,2042,14.067224114301638,1286227.5527811325
565,19_THA,2043,14.125209136452156,1363014.2104033392
586,19_THA,2044,14.182942434536088,1444021.4234890228
607,19_THA,2045,14.240301064356146,1529270.013810066
628,19_THA,2046,14.297455912217345,1619221.2993269123
649,19_THA,2047,14.354418699986837,1714134.2489029577
670,19_THA,2048,14.411361990824858,1814575.2764379396
691,19_THA,2049,14.46813752115473,1920579.499564937
