,Economy,Year,prediction,Consumptionpercap
19,20_USA,2017,12.623039716751308,303470.5095091879
41,20_USA,2018,12.622583242235066,303332.01456727687
62,20_USA,2019,12.619544188074812,302411.5714930676
83,20_USA,2020,12.61494570604853,301024.1298247112
104,20_USA,2021,12.60930813124638,299331.85841092607
125,20_USA,2022,12.602887109926755,297415.99963394227
146,20_USA,2023,12.595865289607616,295334.9129835638
167,20_USA,2024,12.588414352299338,293142.56871442264
188,20_USA,2025,12.58066470457132,290879.5970151469
209,20_USA,2026,12.572744285409073,288584.8085209984
230,20_USA,2027,12.56476857330233,286292.29354219727
251,20_USA,2028,12.556819227663937,284025.4789306955
272,20_USA,2029,12.548601408614175,281700.9732046747
293,20_USA,2030,12.53974609326319,279217.4347396162
314,20_USA,2031,12.53026223487359,276581.8934330404
335,20_USA,2032,12.520163371188971,273802.7871208961
356,20_USA,2033,12.509466045907885,270889.4399372483
377,20_USA,2034,12.498144414235554,267839.8253556028
398,20_USA,2035,12.486196936503049,264658.8551298987
419,20_USA,2036,12.473617680592767,261350.49563812153
440,20_USA,2037,12.460433091227344,257927.3128905877
461,20_USA,2038,12.446655367305311,254398.03015209993
482,20_USA,2039,12.432300624463934,250772.29734022784
503,20_USA,2040,12.417371867478153,247056.38464611108
524,20_USA,2041,12.40191949322832,243268.12114099396
545,20_USA,2042,12.38599397013428,239424.63505539537
566,20_USA,2043,12.369627424973288,235537.9733231021
587,20_USA,2044,12.352812771915012,231610.5953017535
608,20_USA,2045,12.335563507167578,227649.74193716477
629,20_USA,2046,12.317883093913409,223660.17296332965
650,20_USA,2047,12.299807214112164,219653.63846829956
671,20_USA,2048,12.281345117413764,215635.57680494178
692,20_USA,2049,12.262491426138851,211608.13557810974
