,Economy,Year,prediction,Consumptionpercap
20,21_VN,2017,12.573307124487883,288747.28104743944
42,21_VN,2018,12.681459392292481,321727.2424087421
63,21_VN,2019,12.738897360997953,340747.6186562196
84,21_VN,2020,12.744631428503794,342707.1010372717
105,21_VN,2021,12.752644209739628,345464.16920652625
126,21_VN,2022,12.76612189788409,350151.7454322198
147,21_VN,2023,12.782230625344027,355837.92002866365
168,21_VN,2024,12.801040299693796,362594.4603812593
189,21_VN,2025,12.821618179611278,370133.18511151185
210,21_VN,2026,12.850725645011948,381065.1531042204
231,21_VN,2027,12.88127513195218,392886.1412491968
252,21_VN,2028,12.912123217806652,405194.7998789027
273,21_VN,2029,12.943242029920953,418002.2231029884
294,21_VN,2030,12.97380195099447,430973.52961548907
315,21_VN,2031,13.00558058949423,444889.2214048416
336,21_VN,2032,13.036024958362304,458641.87619919516
357,21_VN,2033,13.064007447177346,471657.0668317483
378,21_VN,2034,13.088329768925405,483269.51009267214
399,21_VN,2035,13.10724261970347,492496.4934662589
420,21_VN,2036,13.122421723955313,500029.1741265885
441,21_VN,2037,13.132851383627667,505271.5990714584
462,21_VN,2038,13.137680622219591,507717.57753021683
483,21_VN,2039,13.136367839607033,507051.49203073693
504,21_VN,2040,13.128078824198496,502865.90556091146
525,21_VN,2041,13.109239885320108,493481.1227347522
546,21_VN,2042,13.083853931071758,481111.3076110278
567,21_VN,2043,13.052168780534544,466106.19831997994
588,21_VN,2044,13.012733597612964,448082.92629871797
609,21_VN,2045,12.966598069072461,427880.00327430625
630,21_VN,2046,12.910807985795941,404662.22501405573
651,21_VN,2047,12.848472082302578,380207.36578712537
672,21_VN,2048,12.780465382264424,355210.33368706336
693,21_VN,2049,12.708434695856909,330524.0472559911
