Economy,Year,GDP,SteelConsumption,Population
01_AUS,1990.0,515.3176260493769,5511000.0,17.042
03_CDA,1990.0,916.5548409075647,11222000.0,27.691999999999997
04_CHL,1990.0,125.464694297763,930000.0,13.242
05_PRC,1990.0,1825.7958390498059,68634000.0,1172.4460000000001
06_HKC,1990.0,162.13632654424458,2026000.0,5.782
07_INA,1990.0,884.2749564020372,4690000.0,181.437
08_JPN,1990.0,3980.9227381228943,99032000.0,124.516
09_ROK,1990.0,525.4576235542752,21478000.0,42.923
10_MAS,1990.0,200.55412257474308,2938000.0,18.038
11_MEX,1990.0,940.5093842977685,8257000.0,85.35799999999999
12_NZ,1990.0,83.052842336916,680000.0,3.3989999999999996
14_PE,1990.0,122.1844728011287,425000.0,21.826999999999998
15_RP,1990.0,261.7603085719227,2316000.0,61.948
17_SIN,1990.0,110.27203305047426,3453000.0,3.013
18_CT,1990.0,371.75037451415466,15350000.0,20.311
19_THA,1990.0,396.5059375763737,6783000.0,56.583
20_USA,1990.0,9748.318566926584,103052000.0,252.53
21_VN,1990.0,104.42134026464936,215000.0,68.21
01_AUS,1991.0,513.3205306995841,5294000.0,17.272000000000002
03_CDA,1991.0,897.0717058391659,10688000.0,28.045
04_CHL,1991.0,135.25645109624097,1131000.0,13.457
05_PRC,1991.0,1995.4866903556065,70863000.0,1189.184
06_HKC,1991.0,171.38129793074796,2301000.0,5.854
07_INA,1991.0,945.3958896108239,4479000.0,184.61599999999999
08_JPN,1991.0,4116.970643786462,99151000.0,124.94
09_ROK,1991.0,579.86325028895,26068000.0,43.378
10_MAS,1991.0,219.6979509900228,4137000.0,18.53
11_MEX,1991.0,980.2200485078309,9072000.0,87.071
12_NZ,1991.0,81.68866179036993,538000.0,3.446
14_PE,1991.0,124.89606283596486,552000.0,22.283
15_RP,1991.0,260.2464580042893,2076000.0,63.508
17_SIN,1991.0,117.64600794752633,3631000.0,3.097
18_CT,1991.0,399.4258513876652,18920000.0,20.518
19_THA,1991.0,430.4399479033422,7114000.0,57.258
20_USA,1991.0,9741.096570863929,89599000.0,254.975
21_VN,1991.0,110.6457333892697,263000.0,69.67
01_AUS,1992.0,515.5925686283554,5120000.0,17.486
03_CDA,1992.0,904.9926339347306,11160000.0,28.385
04_CHL,1992.0,150.36014368138814,1440000.0,13.671
05_PRC,1992.0,2279.168342538583,85856000.0,1204.004
06_HKC,1992.0,182.0668115952936,2233000.0,5.92
07_INA,1992.0,1006.8230491481032,4452000.0,187.766
08_JPN,1992.0,4151.8854194860505,84040000.0,125.34100000000001
09_ROK,1992.0,615.6727382845621,23238000.0,43.853
10_MAS,1992.0,239.21837310386329,4532000.0,19.012999999999998
11_MEX,1992.0,1015.7888887057768,9431000.0,88.82799999999999
12_NZ,1992.0,82.72324666990603,619000.0,3.5039999999999996
14_PE,1992.0,124.2209882199155,508000.0,22.737
15_RP,1992.0,261.12505793249915,2666000.0,65.075
16_RUS,1992.0,2617.208589481355,59057000.0,148.31799999999998
17_SIN,1992.0,125.98428751879324,3399000.0,3.1889999999999996
18_CT,1992.0,429.4839265359943,21300000.0,20.717
19_THA,1992.0,465.2340791003196,8568000.0,57.838
20_USA,1992.0,10087.431143085003,97372000.0,257.455
21_VN,1992.0,120.21221601008259,485000.0,71.13
01_AUS,1993.0,536.4177591440542,5757000.0,17.688
03_CDA,1993.0,929.0223230891361,12714000.0,28.711
04_CHL,1993.0,160.26704850983708,1607000.0,13.883
05_PRC,1993.0,2595.23374497076,129420000.0,1217.129
06_HKC,1993.0,193.35708280939014,4091000.0,5.984
07_INA,1993.0,1072.2303834715538,5833000.0,190.88
08_JPN,1993.0,4130.381980864649,80589000.0,125.71700000000001
09_ROK,1993.0,657.8262740418855,26710000.0,44.341
10_MAS,1993.0,262.8888956244558,5592000.0,19.495
11_MEX,1993.0,1321.2310835923656,8745000.0,90.601
12_NZ,1993.0,88.12741370470958,726000.0,3.565
14_PE,1993.0,130.73461139699359,634000.0,23.184
15_RP,1993.0,266.6512662800613,3069000.0,66.65
16_RUS,1993.0,2390.3348070809616,39747000.0,148.431
17_SIN,1993.0,140.51958288176309,4156000.0,3.2880000000000003
