Economy,Year,SteelConsumption
01_AUS,1980,6271000.0
02_BD,1980,-1.0
03_CDA,1980,13306000.0
04_CHL,1980,809000.0
05_PRC,1980,43111000.0
06_HKC,1980,1990000.0
07_INA,1980,2837000.0
08_JPN,1980,79007000.0
09_ROK,1980,6100000.0
10_MAS,1980,1751000.0
11_MEX,1980,10316000.0
12_NZ,1980,612000.0
13_PNG,1980,-1.0
14_PE,1980,615000.0
15_RP,1980,953000.0
16_RUS,1980,-1.0
17_SIN,1980,1793000.0
18_CT,1980,6294000.0
19_THA,1980,1974000.0
20_USA,1980,114015000.0
21_VN,1980,-1.0
01_AUS,1981,6683000.0
02_BD,1981,-1.0
03_CDA,1981,14118000.0
04_CHL,1981,724000.0
05_PRC,1981,39422000.0
06_HKC,1981,2050000.0
07_INA,1981,3013000.0
08_JPN,1981,71136000.0
09_ROK,1981,7480000.0
10_MAS,1981,1738000.0
11_MEX,1981,11309000.0
12_NZ,1981,732000.0
13_PNG,1981,-1.0
14_PE,1981,764000.0
15_RP,1981,957000.0
16_RUS,1981,-1.0
17_SIN,1981,2114000.0
18_CT,1981,5570000.0
19_THA,1981,1839000.0
20_USA,1981,128523000.0
21_VN,1981,-1.0
01_AUS,1982,5850000.0
02_BD,1982,-1.0
03_CDA,1982,9418000.0
04_CHL,1982,334000.0
05_PRC,1982,41152000.0
06_HKC,1982,2154000.0
07_INA,1982,2846000.0
08_JPN,1982,69504000.0
09_ROK,1982,7630000.0
10_MAS,1982,2379000.0
11_MEX,1982,8182000.0
12_NZ,1982,794000.0
13_PNG,1982,-1.0
14_PE,1982,451000.0
15_RP,1982,1442000.0
16_RUS,1982,-1.0
17_SIN,1982,2561000.0
18_CT,1982,5080000.0
19_THA,1982,2430000.0
20_USA,1982,83934000.0
21_VN,1982,-1.0
01_AUS,1983,4811000.0
02_BD,1983,-1.0
03_CDA,1983,10771000.0
04_CHL,1983,462000.0
05_PRC,1983,50389000.0
06_HKC,1983,1903000.0
07_INA,1983,2676000.0
08_JPN,1983,65614000.0
09_ROK,1983,8620000.0
10_MAS,1983,2673000.0
11_MEX,1983,6235000.0
12_NZ,1983,751000.0
13_PNG,1983,-1.0
14_PE,1983,339000.0
15_RP,1983,1557000.0
16_RUS,1983,-1.0
17_SIN,1983,2775000.0
18_CT,1983,5770000.0
19_THA,1983,2901000.0
20_USA,1983,94011000.0
21_VN,1983,-1.0
01_AUS,1984,6054000.0
02_BD,1984,-1.0
03_CDA,1984,13089000.0
04_CHL,1984,628000.0
05_PRC,1984,56067000.0
06_HKC,1984,2485000.0
07_INA,1984,1810000.0
08_JPN,1984,74367000.0
09_ROK,1984,10120000.0
10_MAS,1984,2408000.0
11_MEX,1984,7261000.0
12_NZ,1984,794000.0
13_PNG,1984,-1.0
14_PE,1984,471000.0
15_RP,1984,912000.0
16_RUS,1984,-1.0
17_SIN,1984,2282000.0
18_CT,1984,6090000.0
19_THA,1984,2417000.0
20_USA,1984,111152000.0
21_VN,1984,-1.0
01_AUS,1985,5740000.0
02_BD,1985,-1.0
03_CDA,1985,13185000.0
04_CHL,1985,570000.0
05_PRC,1985,71528000.0
06_HKC,1985,2873000.0
07_INA,1985,2181000.0
08_JPN,1985,73377000.0
09_ROK,1985,10910000.0
10_MAS,1985,2305000.0
11_MEX,1985,7564000.0
12_NZ,1985,680000.0
13_PNG,1985,-1.0
14_PE,1985,533000.0
15_RP,1985,1001000.0
16_RUS,1985,-1.0
17_SIN,1985,1914000.0
18_CT,1985,6320000.0
19_THA,1985,2907000.0
20_USA,1985,105095000.0
21_VN,1985,-1.0
01_AUS,1986,5925000.0
02_BD,1986,-1.0
03_CDA,1986,12539000.0
04_CHL,1986,632000.0
05_PRC,1986,75716000.0
06_HKC,1986,2388000.0
07_INA,1986,2838000.0
08_JPN,1986,69941000.0
09_ROK,1986,11600000.0
10_MAS,1986,2146000.0
11_MEX,1986,6694000.0
12_NZ,1986,607000.0
13_PNG,1986,-1.0
14_PE,1986,550000.0
15_RP,1986,1237000.0
16_RUS,1986,-1.0
17_SIN,1986,1937000.0
18_CT,1986,7840000.0
19_THA,1986,2135000.0
20_USA,1986,94872000.0
21_VN,1986,-1.0
01_AUS,1987,5441000.0
02_BD,1987,-1.0
03_CDA,1987,13395000.0
04_CHL,1987,818000.0
05_PRC,1987,69723000.0
06_HKC,1987,1737000.0
07_INA,1987,2576000.0
08_JPN,1987,75751000.0
09_ROK,1987,15048000.0
10_MAS,1987,1668000.0
11_MEX,1987,6429000.0
12_NZ,1987,864000.0
13_PNG,1987,-1.0
14_PE,1987,581000.0
15_RP,1987,1624000.0
16_RUS,1987,-1.0
17_SIN,1987,2216000.0
18_CT,1987,9401000.0
19_THA,1987,3109000.0
20_USA,1987,100518000.0
21_VN,1987,306000.0
01_AUS,1988,6419000.0
02_BD,1988,-1.0
03_CDA,1988,15244000.0
04_CHL,1988,1026000.0
05_PRC,1988,69177000.0
06_HKC,1988,2861000.0
07_INA,1988,2690000.0
08_JPN,1988,86871000.0
09_ROK,1988,15825000.0
10_MAS,1988,1847000.0
11_MEX,1988,6871000.0
12_NZ,1988,671000.0
13_PNG,1988,-1.0
14_PE,1988,567000.0
15_RP,1988,2112000.0
16_RUS,1988,-1.0
17_SIN,1988,2545000.0
18_CT,1988,11630000.0
19_THA,1988,4094000.0
20_USA,1988,110295000.0
21_VN,1988,126000.0
01_AUS,1989,6831000.0
02_BD,1989,-1.0
03_CDA,1989,13985000.0
04_CHL,1989,1008000.0
05_PRC,1989,70318000.0
06_HKC,1989,1897000.0
07_INA,1989,3085000.0
08_JPN,1989,93278000.0
09_ROK,1989,18267000.0
10_MAS,1989,2377000.0
11_MEX,1989,7285000.0
12_NZ,1989,686000.0
13_PNG,1989,-1.0
14_PE,1989,452000.0
15_RP,1989,2435000.0
16_RUS,1989,-1.0
17_SIN,1989,3021000.0
18_CT,1989,14100000.0
19_THA,1989,5083000.0
20_USA,1989,101986000.0
21_VN,1989,194000.0
01_AUS,1990,5511000.0
02_BD,1990,-1.0
03_CDA,1990,11222000.0
04_CHL,1990,930000.0
05_PRC,1990,68634000.0
06_HKC,1990,2026000.0
07_INA,1990,4690000.0
08_JPN,1990,99032000.0
09_ROK,1990,21478000.0
10_MAS,1990,2938000.0
11_MEX,1990,8257000.0
12_NZ,1990,680000.0
13_PNG,1990,-1.0
14_PE,1990,425000.0
15_RP,1990,2316000.0
16_RUS,1990,-1.0
17_SIN,1990,3453000.0
18_CT,1990,15350000.0
19_THA,1990,6783000.0
20_USA,1990,103052000.0
21_VN,1990,215000.0
01_AUS,1991,5294000.0
02_BD,1991,-1.0
03_CDA,1991,10688000.0
04_CHL,1991,1131000.0
05_PRC,1991,70863000.0
06_HKC,1991,2301000.0
07_INA,1991,4479000.0
08_JPN,1991,99151000.0
09_ROK,1991,26068000.0
10_MAS,1991,4137000.0
11_MEX,1991,9072000.0
12_NZ,1991,538000.0
13_PNG,1991,-1.0
14_PE,1991,552000.0
15_RP,1991,2076000.0
16_RUS,1991,-1.0
17_SIN,1991,3631000.0
18_CT,1991,18920000.0
19_THA,1991,7114000.0
20_USA,1991,89599000.0
21_VN,1991,263000.0
01_AUS,1992,5120000.0
02_BD,1992,-1.0
03_CDA,1992,11160000.0
04_CHL,1992,1440000.0
05_PRC,1992,85856000.0
06_HKC,1992,2233000.0
07_INA,1992,4452000.0
08_JPN,1992,84040000.0
09_ROK,1992,23238000.0
10_MAS,1992,4532000.0
11_MEX,1992,9431000.0
12_NZ,1992,619000.0
13_PNG,1992,-1.0
