Economy,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
01_AUS,6271000,6683000,5850000,4811000,6054000,5740000,5925000,5441000,6419000,6831000,5511000,5294000,5120000,5757000,6326000,6256000,6400000,6500000,6600000,6600000,6100000,6000000,6800000,7000000,7500000,7400000,7420000,8126000,8224000,5916000,7716000,6672000,7152000,6376000,7142000,6968000,6478000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_BD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_CDA,13306000,14118000,9418000,10771000,13089000,13185000,12539000,13395000,15244000,13985000,11222000,10688000,11160000,12714000,15324000,15047000,15300000,17700000,18200000,18200000,19800000,16900000,17671000,17233000,19314000,18014000,20130000,18248000,16799000,10591000,15656000,15746000,17305000,16445000,17527000,14827000,16717000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04_CHL,809000,724000,334000,462000,628000,570000,632000,818000,1026000,1008000,930000,1131000,1440000,1607000,1549000,1683000,2159000,2321000,2214000,1737000,1977000,2278000,2270000,2290000,2690000,2840000,2770000,2765000,3005000,1960000,2738000,3148000,3457000,3105000,3031000,3215000,3172000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05_PRC,43111000,39422000,41152000,50389000,56067000,71528000,75716000,69723000,69177000,70318000,68634000,70863000,85856000,129420000,118515000,99944000,111934000,114721000,122939000,136181000,138086000,170648000,205720000,258570000,296580000,350170000,393400000,435860000,465480000,574420000,612063000,667941000,687609000,772340000,739980000,700351000,708637000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06_HKC,1990000,2050000,2154000,1903000,2485000,2873000,2388000,1737000,2861000,1897000,2026000,2301000,2233000,4091000,4474000,3404000,4563000,5116000,4961000,5037000,5223000,5057000,4966000,4851000,5163000,4204000,2625000,2707000,1985000,1703000,1929000,1886000,1991000,2436000,2727000,3773000,3231000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07_INA,2837000,3013000,2846000,2676000,1810000,2181000,2838000,2576000,2690000,3085000,4690000,4479000,4452000,5833000,5281000,7262000,7675000,7486000,3626000,3546000,5287000,5457000,5248000,5063000,6175000,7814000,7494000,8694000,10587000,8908000,10744000,13148000,15006000,15237000,15483000,13656000,15214000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08_JPN,79007000,71136000,69504000,65614000,74367000,73377000,69941000,75751000,86871000,93278000,99032000,99151000,84040000,80589000,79333000,84340000,84400000,85500000,72500000,71000000,79600000,75200000,73600000,76400000,80500000,82900000,83300000,85900000,83200000,56000000,67400000,69600000,68800000,70800000,72900000,67800000,67500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09_ROK,6100000,7480000,7630000,8620000,10120000,10910000,11600000,15048000,15825000,18267000,21478000,26068000,23238000,26710000,32188000,37306000,39400000,39900000,25800000,35200000,40000000,39700000,45400000,47500000,49100000,49000000,52210000,57404000,61011000,47303000,54573000,58741000,56322000,53919000,57834000,58125000,59520000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_MAS,1751000,1738000,2379000,2673000,2408000,2305000,2146000,1668000,1847000,2377000,2938000,4137000,4532000,5592000,5302000,8313000,8705000,8848000,4471000,6158000,6761000,8024000,7640000,6693000,7709000,7263000,7883000,8947000,9873000,7727000,9668000,9578000,10374000,11685000,11720000,11629000,11925000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
