Economy,Year,Population
01_AUS,2017,24.451
02_BD,2017,0.429
03_CDA,2017,36.624
04_CHL,2017,18.055
05_PRC,2017,1409.517
06_HKC,2017,7.365
07_INA,2017,263.991
08_JPN,2017,127.484
09_ROK,2017,50.982
10_MAS,2017,31.624
11_MEX,2017,129.163
12_NZ,2017,4.706
13_PNG,2017,8.251
14_PE,2017,32.165
15_RP,2017,104.918
16_RUS,2017,143.989
17_SIN,2017,5.709
18_CT,2017,23.626
19_THA,2017,69.038
20_USA,2017,324.459
21_VN,2017,95.54
27_WOR,2017,7555.0705911783825
01_AUS,2018,24.772
02_BD,2018,0.434
03_CDA,2018,36.954
04_CHL,2018,18.197
05_PRC,2018,1415.046
06_HKC,2018,7.429
07_INA,2018,266.795
08_JPN,2018,127.185
09_ROK,2018,51.164
10_MAS,2018,32.043
11_MEX,2018,130.76
12_NZ,2018,4.749
13_PNG,2018,8.418
14_PE,2018,32.552
15_RP,2018,106.512
16_RUS,2018,143.965
17_SIN,2018,5.792
18_CT,2018,23.694
19_THA,2018,69.184
20_USA,2018,326.767
21_VN,2018,96.491
01_AUS,2019,25.089
02_BD,2019,0.439
03_CDA,2019,37.28
04_CHL,2019,18.336
05_PRC,2019,1420.062
06_HKC,2019,7.491
07_INA,2019,269.537
08_JPN,2019,126.855
09_ROK,2019,51.339
10_MAS,2019,32.455
11_MEX,2019,132.328
12_NZ,2019,4.792
13_PNG,2019,8.587
14_PE,2019,32.933
15_RP,2019,108.106
16_RUS,2019,143.895
17_SIN,2019,5.868
18_CT,2019,23.758
19_THA,2019,69.306
20_USA,2019,329.093
21_VN,2019,97.429
01_AUS,2020,25.398
02_BD,2020,0.445
03_CDA,2020,37.604
04_CHL,2020,18.472
05_PRC,2020,1424.548
06_HKC,2020,7.548
07_INA,2020,272.223
08_JPN,2020,126.495
09_ROK,2020,51.507
10_MAS,2020,32.869
11_MEX,2020,133.87
12_NZ,2020,4.834
13_PNG,2020,8.756
14_PE,2020,33.312
15_RP,2020,109.703
16_RUS,2020,143.787
17_SIN,2020,5.935
18_CT,2020,23.817
19_THA,2020,69.411
20_USA,2020,331.432
21_VN,2020,98.36
01_AUS,2021,25.7
02_BD,2021,0.45
03_CDA,2021,37.924
04_CHL,2021,18.605
05_PRC,2021,1428.48
06_HKC,2021,7.598
07_INA,2021,274.854
08_JPN,2021,126.109
09_ROK,2021,51.667
10_MAS,2021,33.289
11_MEX,2021,135.384
12_NZ,2021,4.875
13_PNG,2021,8.926
14_PE,2021,33.686
15_RP,2021,111.303
16_RUS,2021,143.636
17_SIN,2021,5.991
18_CT,2021,23.873
19_THA,2021,69.498
20_USA,2021,333.784
21_VN,2021,99.284
01_AUS,2022,25.996
02_BD,2022,0.455
03_CDA,2022,38.242
04_CHL,2022,18.734
05_PRC,2022,1431.85
06_HKC,2022,7.643
07_INA,2022,277.425
08_JPN,2022,125.697
09_ROK,2022,51.817
10_MAS,2022,33.711
11_MEX,2022,136.869
12_NZ,2022,4.916
13_PNG,2022,9.097
14_PE,2022,34.055
15_RP,2022,112.902
16_RUS,2022,143.442
17_SIN,2022,6.04
18_CT,2022,23.923
19_THA,2022,69.568
20_USA,2022,336.15
21_VN,2022,100.195
01_AUS,2023,26.287
02_BD,2023,0.459
03_CDA,2023,38.556
04_CHL,2023,18.859
05_PRC,2023,1434.676
06_HKC,2023,7.685
07_INA,2023,279.934
08_JPN,2023,125.259
09_ROK,2023,51.959
10_MAS,2023,34.131
11_MEX,2023,138.322
12_NZ,2023,4.956
13_PNG,2023,9.268
14_PE,2023,34.419
15_RP,2023,114.497
16_RUS,2023,143.204
17_SIN,2023,6.081
18_CT,2023,23.968
19_THA,2023,69.62
20_USA,2023,338.524
21_VN,2023,101.084
01_AUS,2024,26.573
02_BD,2024,0.464
03_CDA,2024,38.868
04_CHL,2024,18.98
05_PRC,2024,1436.995
06_HKC,2024,7.726
07_INA,2024,282.376
08_JPN,2024,124.796
09_ROK,2024,52.093
10_MAS,2024,34.545
11_MEX,2024,139.745
12_NZ,2024,4.994
13_PNG,2024,9.442
14_PE,2024,34.778
15_RP,2024,116.086
16_RUS,2024,142.925
17_SIN,2024,6.119
18_CT,2024,24.009
19_THA,2024,69.66
20_USA,2024,340.895
21_VN,2024,101.943
01_AUS,2025,26.857
02_BD,2025,0.469
03_CDA,2025,39.173
04_CHL,2025,19.099
05_PRC,2025,1438.836
06_HKC,2025,7.768
07_INA,2025,284.751
08_JPN,2025,124.31
09_ROK,2025,52.219
10_MAS,2025,34.95
11_MEX,2025,141.132
12_NZ,2025,5.033
13_PNG,2025,9.614
14_PE,2025,35.13
15_RP,2025,117.665
16_RUS,2025,142.607
17_SIN,2025,6.157
18_CT,2025,24.045
19_THA,2025,69.685
20_USA,2025,343.256
21_VN,2025,102.764
01_AUS,2026,27.139
02_BD,2026,0.473
03_CDA,2026,39.473
04_CHL,2026,19.214
05_PRC,2026,1440.205
06_HKC,2026,7.814
07_INA,2026,287.056
08_JPN,2026,123.801
09_ROK,2026,52.338
10_MAS,2026,35.344
11_MEX,2026,142.484
12_NZ,2026,5.07
13_PNG,2026,9.788
14_PE,2026,35.478
15_RP,2026,119.232
16_RUS,2026,142.254
17_SIN,2026,6.196
18_CT,2026,24.077
19_THA,2026,69.699
20_USA,2026,345.602
21_VN,2026,103.543
01_AUS,2027,27.418
02_BD,2027,0.478
03_CDA,2027,39.769
04_CHL,2027,19.327
05_PRC,2027,1441.106
06_HKC,2027,7.859
07_INA,2027,289.292
08_JPN,2027,123.272
09_ROK,2027,52.447
10_MAS,2027,35.728
11_MEX,2027,143.801
12_NZ,2027,5.107
13_PNG,2027,9.962
14_PE,2027,35.821
15_RP,2027,120.789
16_RUS,2027,141.866
17_SIN,2027,6.234
18_CT,2027,24.103
19_THA,2027,69.701
20_USA,2027,347.93
21_VN,2027,104.284
01_AUS,2028,27.693
02_BD,2028,0.482
03_CDA,2028,40.059
04_CHL,2028,19.435
05_PRC,2028,1441.556
06_HKC,2028,7.905
07_INA,2028,291.46
08_JPN,2028,122.724
09_ROK,2028,52.546
10_MAS,2028,36.102
11_MEX,2028,145.083
12_NZ,2028,5.144
13_PNG,2028,10.137
14_PE,2028,36.156
15_RP,2028,122.332
16_RUS,2028,141.448
17_SIN,2028,6.273
18_CT,2028,24.125
19_THA,2028,69.69
20_USA,2028,350.23
21_VN,2028,104.986
01_AUS,2029,27.966
02_BD,2029,0.486
03_CDA,2029,40.342
04_CHL,2029,19.538
05_PRC,2029,1441.574
06_HKC,2029,7.948
07_INA,2029,293.56
08_JPN,2029,122.161
09_ROK,2029,52.631
10_MAS,2029,36.464
11_MEX,2029,146.329
12_NZ,2029,5.178
13_PNG,2029,10.312
14_PE,2029,36.485
15_RP,2029,123.86
16_RUS,2029,141.006
17_SIN,2029,6.308
18_CT,2029,24.141
19_THA,2029,69.665
20_USA,2029,352.494
21_VN,2029,105.652
01_AUS,2030,28.234
02_BD,2030,0.49
03_CDA,2030,40.618
04_CHL,2030,19.638
05_PRC,2030,1441.182
06_HKC,2030,7.987
07_INA,2030,295.595
08_JPN,2030,121.58
09_ROK,2030,52.702
10_MAS,2030,36.815
11_MEX,2030,147.54
12_NZ,2030,5.213
13_PNG,2030,10.487
14_PE,2030,36.807
15_RP,2030,125.372
16_RUS,2030,140.544
17_SIN,2030,6.342
18_CT,2030,24.151
19_THA,2030,69.626
20_USA,2030,354.712
21_VN,2030,106.284
01_AUS,2031,28.5
02_BD,2031,0.494
03_CDA,2031,40.886
04_CHL,2031,19.731
05_PRC,2031,1440.391
06_HKC,2031,8.023
07_INA,2031,297.565
08_JPN,2031,120.988
09_ROK,2031,52.757
10_MAS,2031,37.153
11_MEX,2031,148.716
12_NZ,2031,5.246
13_PNG,2031,10.662
14_PE,2031,37.12
15_RP,2031,126.868
16_RUS,2031,140.063
17_SIN,2031,6.374
18_CT,2031,24.155
19_THA,2031,69.572
20_USA,2031,356.88
21_VN,2031,106.881
01_AUS,2032,28.76
02_BD,2032,0.497
